tipo,vendor,producto,cantidad_cves,v31_score_promedio,v31_score_maximo
Aplicación,mikoviny,wp_custom_pages,1,,
Aplicación,miniwork,com_canteen,1,,
Aplicación,mitel,micollab,1,7.5,7.5
Aplicación,mitel,mivoice,1,7.5,7.5
Aplicación,mj2,majordomo_2,1,,
Aplicación,mms.pipp,com_mmsblog,1,,
Aplicación,mnt-tech,wp-facethumb,1,,
Aplicación,modx,modx_revolution,1,,
Aplicación,montala,resourcespace,1,,
Aplicación,moto-treks,com_mtfireeagle,1,,
Aplicación,movies_project,movies,1,6.1,6.1
Aplicación,mozilla,seamonkey,1,9.8,9.8
Aplicación,netapp,snap_creator_framework,1,9.8,9.8
Aplicación,netapp,snapcenter,1,10.0,10.0
Aplicación,netapp,snapprotect,1,7.0,7.0
Aplicación,netapp,solidfire,1,7.0,7.0
Aplicación,multi-router_looking_glass_project,multi-router_looking_glass,1,9.8,9.8
Aplicación,myblog,com_myblog,1,,
Aplicación,mypixs_project,mypixs,1,,
Aplicación,mysqldumper,mysqldumper,1,,
Aplicación,najeebmedia,frontend_file_manager,1,9.8,9.8
Aplicación,najeebmedia,post_front-end_form,1,9.8,9.8
Aplicación,netapp,7-mode_transition_tool,1,9.8,9.8
Aplicación,netapp,active_iq_unified_manager,1,10.0,10.0
Aplicación,netapp,brocade_san_navigator,1,10.0,10.0
Aplicación,netapp,cloud_backup,1,7.0,7.0
Aplicación,netapp,cloud_insights,1,10.0,10.0
Aplicación,netapp,cloud_manager,1,10.0,10.0
Aplicación,devalcms,devalcms,1,,
Aplicación,dhtmlx,dhtmlxspreadsheet,1,,
Aplicación,digitalzoomstudio,video_gallery,1,,
Aplicación,dionesoft,com_dioneformwizard,1,,
Aplicación,nodejs,node.js,1,,
Aplicación,novius-os,novius_os,1,,
Aplicación,omilenitsolutions,com_omphotogallery,1,,
Aplicación,openbb,openbb,1,,
Aplicación,openemr,openemr,1,,
Aplicación,netapp,hci_storage_nodes,1,7.0,7.0
Aplicación,netapp,oncommand_cloud_manager,1,9.8,9.8
Aplicación,netapp,oncommand_report,1,9.8,9.8
